Player,Years,Total,Team,Breakdown,Order,,,,,Position,,,,,,,,,,,
"Jeremy Jeffress, RP MIL",2,2,WAS,,7,,,,RP MIL,RP,,,,,,,,,,,
"Jordan Lyles, RP PIT",1,0.5,NYM,,6,,,,RP PIT,RP,,,,,,,,,,,
"Jordan Lyles, RP PIT",2,0.98,NYY,,12,,,,RP PIT,RP,,,,,,,,,,,
"Jordan Lyles, RP PIT",2,3.94,SD,,15,,,,RP PIT,RP,,,,,,,,,,,
"Michael Lorenzen, RP CIN",3,1.23,CHC,,9,,,,RP CIN,RP,,,,,,,,,,,
"Pedro Strop, RP CHC",1,1.3,ARZ,,10,,,,RP CHC,RP,,,,,,,,,,,
"Pedro Strop, RP CHC",3,5.07,BOS,,8,,,,RP CHC,RP,,,,,,,,,,,
"Pedro Strop, RP CHC",1,0.95,CHC,,9,,,,RP CHC,RP,,,,,,,,,,,
"Pedro Strop, RP CHC",1,0.6,DET,,16,,,,RP CHC,RP,,,,,,,,,,,
"Pedro Strop, RP CHC",1,0.55,KC,,17,,,,RP CHC,RP,,,,,,,,,,,
"Pedro Strop, RP CHC",1,2.1,NYM,,6,,,,RP CHC,RP,,,,,,,,,,,
"Pedro Strop, RP CHC",1,0.55,SD,,15,,,,RP CHC,RP,,,,,,,,,,,
"Pedro Strop, RP CHC",1,1,WAS,,7,,,,RP CHC,RP,,,,,,,,,,,
"Richard Rodriguez, RP PIT",3,1.2,LAD,,3,,,,RP PIT,RP,,,,,,,,,,,
"Richard Rodriguez, RP PIT",5,3.75,NYM,,6,,,,RP PIT,RP,,,,,,,,,,,
"Steve Cishek, RP CHC",1,0.51,CHC,,9,,,,RP CHC,RP,,,,,,,,,,,
"Steve Cishek, RP CHC",1,0.62,PHI,,1,,,,RP CHC,RP,,,,,,,,,,,
